lat,long,name,other
-114.719633,32.718767,California-Mexico-Arizona boundary point,(from California Boundary Points) California Southeast corner
-114.725525,32.721398,California-Mexico-Arizona boundary point parking,"318 Algodones Rd<br>Winterhaven, CA 92283<br><br>(from California Boundary Points) Parking to walk to California Southeast corner"
-117.124026,32.534375,California-Mexico boundary point,(from California Boundary Points) California Southwest corner
-117.122205,32.535214,California-Mexico boundary point parking,"Monument Rd<br>San Diego, CA 92154<br><br>(from California Boundary Points) Parking to walk to California Southwest corner"
-124.212,42,California-Oregon boundary point,(from California Boundary Points) California Northwest corner
-124.210031,41.999133,California-Oregon boundary point parking,"17580-17598 Oregon Coast Hwy<br>Brookings, CA<br><br>(from California Boundary Points) Parking to walk to California Northwest corner"
-119.999167,41.994542,California-Oregon-Nevada boundary point,(from California Boundary Points) California Northeast corner
-120.005937,42.000963,California-Oregon-Nevada boundary point parking,"County Highway 3-14B<br>Adel, OR 97620<br><br> (from California Boundary Points) Parking to walk to California Northeast corner"
-120,39,California-Nevada boundary point in Lake Tahoe,(from California Boundary Points) California-Nevada boundary point in Lake Tahoe
-120.006049,38.93872,California-Nevada boundary point in Lake Tahoe parking,"236 Ala Wai Blvd<br>South Lake Tahoe, CA 96150<br><br> (from California Boundary Points) Parking to walk to California-Nevada boundary point in Lake Tahoe parking"
-114.633488,35.001854,California-Nevada-Arizona boundary point,(from California Boundary Points) California-Nevada-Arizona boundary point
-114.630983,35.002792,California-Nevada-Arizona boundary point parking,"Mohave Valley Dr<br>Mohave Valley, AZ 86440<br><br> (from California Boundary Points) Parking to walk to California-Nevada-Arizona boundary point"
