name,lat,long
USC00040134,32.83583,-116.7775
AMYC1,34.55917,-115.74417
APLC1,34.53639,-117.27889
ARVC1,35.2,-118.83333
ASHC1,36.49139,-118.82528
AIDC1,33.33806,-118.33056
AVX,33.405,-118.41583
ATEC1,35.99833,-120.11806
BAFC1,35.41861,-119.05083
BFL,35.43444,-119.05417
DNPC1,36.90917,-119.08833
BARC1,34.89278,-117.02194
DAG,34.85361,-116.78583
BUO,33.92861,-116.98139
BBLC1,34.24417,-116.90389
BIH,37.37111,-118.35806
BLH,33.61861,-114.71417
BORC1,35.00417,-117.65028
BROC1,33.23139,-116.41444
BRDC1,35.93028,-120.86778
BUR,34.20056,-118.3575
BTWC1,35.40472,-119.47306
CCAC1,34.58222,-119.98167
USW00023136,34.21667,-119.08333
CZZ,32.62333,-116.47278
USW00003177,33.12806,-117.27944
CCHC1,34.25,-118.6
NID,35.6875,-117.69306
USW00003179,33.97528,-117.63611
RCOC1,33.66167,-115.72056
CVRC1,34.00472,-118.415
DELC1,35.76833,-119.26
TRM,33.62667,-116.15944
EGLC1,33.80889,-115.45083
ELJC1,32.81389,-116.975
ELCC1,32.76694,-115.56167
EORC1,33.66917,-117.33194
USC00042871,33.12111,-117.08833
FILC1,34.40861,-118.94556
LOKC1,34.73333,-119.10389
FETC1,37.54222,-122.01583
FAT,36.78,-119.71944
FYIC1,36.7525,-119.70167
FRAC1,36.99694,-119.70722
USW00003166,33.87194,-117.97889
GTCC1,34.08694,-118.47944
GNNC1,35.72694,-118.70056
GRGC1,36.73944,-118.96306
GVHC1,34.96056,-118.93833
GROC1,37.84444,-120.22583
USW00053119,36.31889,-119.62889
HAFC1,36.31583,-119.63694
USW00003167,33.92278,-118.33417
HWD,37.65417,-122.115
HSCC1,35.68417,-121.16833
HENC1,33.23722,-116.76139
HESC1,34.42056,-117.26611
HNTC1,37.2275,-119.22056
HWOC1,36.18278,-120.12222
IDYC1,33.75722,-116.70667
USW00003144,32.83417,-115.57861
IDOC1,33.70861,-116.21528
IRNC1,34.14722,-115.12194
JCSC1,35.30167,-118.00139
JSVC1,34.35917,-116.53778
JSTC1,34.14694,-116.27472
JULC1,33.07639,-116.5925
KENC1,37.95667,-122.54472
KTTC1,36.00417,-119.96
LAGC1,33.54528,-117.78139
WJF,34.74111,-118.21167
LEBC1,34.83278,-118.865
LEVC1,37.95667,-119.11944
LMGC1,32.73833,-117.03
LEMC1,36.38167,-119.02639
NLC,36.33333,-119.95
LINC1,36.20333,-119.05444
LVK,37.69278,-121.81444
USC00045028,36.60444,-118.7325
LGB,33.81167,-118.14639
CAIC1,35.38361,-118.41222
LOSC1,37.05639,-120.86667
LCCC1,34.02361,-118.29111
LPOC1,34.54444,-119.79139
LAX,33.93806,-118.38889
USW00093242,36.98778,-120.11056
MALC1,37.64778,-118.96167
MRIC1,37.495,-119.98583
MCAC1,33.57139,-116.07667
USW00023257,37.28472,-120.51278
MOD,37.62417,-120.95056
MODC1,37.65,-121.0
USW00023244,37.40583,-122.04806
MOHC1,35.05611,-118.17306
KMRY,36.58806,-121.84528
MTR,36.59278,-121.85556
MVCC1,34.08639,-116.56222
MLNC1,32.86722,-116.41944
MWS,34.23083,-118.07111
EED,34.7675,-114.61889
CYMC1,34.94556,-119.68278
3L3,33.6025,-117.88028
NZY,32.7,-117.2
CSUC1,34.24472,-118.525
OAK,37.72139,-122.22083
L34,33.20972,-117.395
USW00053121,33.21944,-117.34944
OCTC1,33.15528,-116.16889
OJAC1,34.44778,-119.2275
OMSC1,37.34056,-119.66833
USW00003102,34.05611,-117.60028
OSFC1,35.80278,-120.10306
USW00093110,34.20083,-119.20694
PPWC1,37.03333,-121.18333
USW00093138,33.82806,-116.50528
PSPC1,33.8275,-116.50972
USW00023182,34.62944,-118.08361
PLRC1,33.37806,-116.84
PSAC1,34.14833,-118.14472
PRB,35.66972,-120.62833
PRBC1,35.62778,-120.68556
PISC1,35.15972,-120.68306
POMC1,34.08167,-117.76583
POWC1,33.0175,-117.02917
USW00053120,33.0375,-116.91583
SGX,33.02167,-117.08139
RANC1,35.36917,-117.6525
RDOC1,33.83417,-118.37556
RWCC1,37.47667,-122.23861
USW00003171,33.95194,-117.43861
REVC1,33.95111,-117.38806
SNS,36.66361,-121.60806
SNSC1,36.65944,-121.66639
USW00003178,32.57222,-116.97944
SJOC1,37.35917,-121.92389
SFOC1,37.77056,-122.42694
GABC1,34.15528,-117.90778
JBLC1,34.10611,-118.1
SBPC1,35.30556,-120.66194
USW00093206,35.23722,-120.64139
SFO,37.61972,-122.36472
NKX,32.86667,-117.13333
SAN,32.73361,-117.18306
USW00003131,32.81583,-117.13944
SDB,34.74361,-118.72417
SMX,34.89944,-120.44861
SMRC1,35.37417,-120.6375
SBA,34.42583,-119.8425
1L2,34.0075,-118.49972
SMO,34.01583,-118.45139
STAC1,33.74417,-117.86667
USW00093184,33.68,-117.86639
SCRC1,36.99056,-121.99111
SBAC1,34.41667,-119.68444
SGSC1,34.58944,-118.45472
YNPC1,37.50722,-119.63306
SONC1,37.96722,-120.38722
SCK,37.88917,-121.22583
TFTC1,35.15028,-119.43
THPC1,35.10111,-118.42222
RTMC1,36.45111,-118.89611
TREC1,36.465,-118.86194
TOA,33.80167,-118.34194
TRPC1,37.79667,-121.58278
TNAC1,35.76361,-117.39083
WVSC1,34.12056,-115.85
NXP,34.3,-116.16667
TYEC1,34.12806,-116.03694
UCLC1,34.06972,-118.44278
USW00023130,34.20972,-118.48917
VCVC1,34.535,-117.30583
VISC1,36.32833,-119.29917
VSTC1,33.22944,-117.22694
WASC1,35.58917,-119.35194
USW00023277,36.93583,-121.78861
WESC1,36.22722,-119.99667
WSHC1,37.00694,-118.98389
CPKC1,34.18194,-118.57444
WRIC1,34.36167,-117.63861
YBLC1,33.89,-117.81889
YPQC1,37.75,-119.58972
YUVC1,34.12944,-116.38778
YMSC1,34.21833,-116.40722
